,BBC Compound,BBC Negative,BBC Neutral,BBC Positive,BBC Tweet date,BBC Tweets,CBS Compound,CBS Negative,CBS Neutral,CBS Positive,CBS Tweet date,CBS Tweets,CNN Compound,CNN Negative,CNN Neutral,CNN Positive,CNN Tweet date,CNN Tweets,Fox Compound,Fox Negative,Fox Neutral,Fox Positive,Fox Tweet date,Fox Tweets,NYT Compound,NYT Negative,NYT Neutral,NYT Positive,NYT Tweet date,NYT Tweets
13,-0.6249,0.451,0.549,0.0,Wed Mar 28 21:33:05 +0000 2018,Man has 'world's worst' super-gonorrhoea https://t.co/MV4ur4kzZV,-0.296,0.339,0.331,0.331,Thu Mar 29 03:03:03 +0000 2018,Cop killer who laughed at trial smiles as jury recommends death https://t.co/hwYkrT6sSn https://t.co/cwlG757A9m,0.0,0.0,1.0,0.0,Thu Mar 29 03:24:05 +0000 2018,Former Sen. Rick Santorum says he misspoke earlier this week when suggesting that students should learn CPR instead… https://t.co/fU7HlJrZq8,0.2235,0.0,0.918,0.082,Thu Mar 29 04:50:00 +0000 2018,.@statedeptspox: “That Iran nuclear deal did not make the world safer… it did not stop Iran from all of these horri… https://t.co/FRGpqUnQXY,0.0,0.0,1.0,0.0,Thu Mar 29 02:32:03 +0000 2018,"Water squirted from toy rubber ducks contains bacteria often associated with infections acquired in hospitals, a st… https://t.co/wmNoGpHnmo"
14,-0.6908,0.402,0.598,0.0,Wed Mar 28 20:17:31 +0000 2018,Silent march in Paris after 'anti-Semitic' murder https://t.co/GHTDdMslp5,0.4588,0.0,0.857,0.143,Thu Mar 29 02:20:02 +0000 2018,Air Force pilot captured breathtaking images of the northern lights as he flew across the sky in Canada.… https://t.co/efrhS8en2X,0.0,0.0,1.0,0.0,Thu Mar 29 03:16:03 +0000 2018,Ireland will hold a referendum on May 25 on whether abortion should be legalized https://t.co/l37NDo42BR,0.0,0.0,1.0,0.0,Thu Mar 29 04:45:00 +0000 2018,U.S. economy grows at 2.9% rate in Q4 https://t.co/j6wlXt484M,-0.8834,0.34,0.66,0.0,Thu Mar 29 02:17:03 +0000 2018,"RT @nytimesworld: In a first, a South African woman was sent to prison for racist speech -- specifically, a slur that is offensive in her c…"
15,-0.3818,0.245,0.755,0.0,Wed Mar 28 19:34:17 +0000 2018,Aziza Oubaita on the fight of her life https://t.co/rQlPJt8UTN,0.0,0.0,1.0,0.0,Thu Mar 29 02:01:00 +0000 2018,"RT @CBSEveningNews: NOW: @CBSEveningNews with @JeffGlor airs in its entirety on CBSN, @CBSNews' 24/7 streaming news service https://t.co/Me…",-0.6597,0.18,0.82,0.0,Thu Mar 29 03:09:05 +0000 2018,"The US military conducted its first airstrike against al Qaeda in Libya on Saturday, killing one of the group's lea… https://t.co/6MXInlEang",0.6605,0.0,0.778,0.222,Thu Mar 29 04:40:00 +0000 2018,"Dave Harrington, Aliso Viejo mayor: “I kind of wish the attorney general of California took as much interest in the… https://t.co/fUc6Xtb0OT",0.5563,0.0,0.796,0.204,Thu Mar 29 02:06:06 +0000 2018,"The reboot of ""Roseanne"" got off to an enormously strong start on Tuesday night https://t.co/AW9oKd48KP"
16,-0.5859,0.153,0.847,0.0,Wed Mar 28 19:29:54 +0000 2018,RT @BBCBreaking: UK police probing poisoning of ex-spy and daughter believe first contact with nerve agent came from their front door https…,0.0,0.0,1.0,0.0,Thu Mar 29 02:00:31 +0000 2018,"Parents beware: Rubber duckies may be breeding ground for bacteria seen in ""hospital-acquired infections,"" accordin… https://t.co/v40GwQwyGi",0.0,0.0,1.0,0.0,Thu Mar 29 03:05:07 +0000 2018,"Apple's quest to find a home for another campus will be different than Amazon's approach, says CEO Tim Cook: ""We're… https://t.co/Wqndqgc9DX",0.0,0.0,1.0,0.0,Thu Mar 29 04:35:00 +0000 2018,"OPINION: If the Second Amendment falls, our entire Bill of Rights falls https://t.co/vT4cRZnBTn",-0.296,0.216,0.784,0.0,Thu Mar 29 01:55:04 +0000 2018,"Ecuador cuts off Julian Assange’s internet access. Again.
https://t.co/5rRq2DTGdx"
17,0.3802,0.0,0.915,0.085,Wed Mar 28 19:24:18 +0000 2018,"RT @amolrajanBBC: Hey guys. Repeat after me, please! Data is not the new oil. Data is not the new oil. Data is not the new oil. Data is not…",-0.4588,0.231,0.769,0.0,Thu Mar 29 01:40:01 +0000 2018,"Pennsylvania student stockpiled arsenal, threatened school shooting, police say. https://t.co/YIiuTqyEvn https://t.co/k929FpQNvZ",-0.296,0.175,0.723,0.102,Thu Mar 29 03:01:09 +0000 2018,"Is the tech wreck for Amazon and Facebook over, or just beginning? https://t.co/2pFsIbxNwN https://t.co/bhuy3WxmNA",0.6841,0.0,0.786,0.214,Thu Mar 29 04:30:00 +0000 2018,BEAUTIFUL: The non-profit organization Pile of Puppies brought a litter of miniature bull terrier pups to the bedsi… https://t.co/U1UNNejfSo,0.5267,0.0,0.825,0.175,Thu Mar 29 01:44:02 +0000 2018,"The Justice Dept.'s watchdog will investigate the surveillance of a former Trump campaign official, responding to p… https://t.co/UQfGlfh03r"
18,0.0,0.0,1.0,0.0,Wed Mar 28 19:09:43 +0000 2018,Spain police recover artefacts looted by IS in Libya https://t.co/YYbxtwBMkh,-0.2263,0.112,0.888,0.0,Thu Mar 29 01:22:35 +0000 2018,"American plane manufacturer Boeing announced that it ""detected a limited intrusion of malware"" that infiltrated ""a… https://t.co/AWThh8iBvs",0.0,0.0,1.0,0.0,Thu Mar 29 03:01:08 +0000 2018,"Hong Kong's ""Frog King"" showcases experimental art at Cattle Depot, a former slaughterhouse turned artists' village… https://t.co/XOUWej21jM",0.0,0.0,1.0,0.0,Thu Mar 29 04:25:00 +0000 2018,Carnival Cruise offers Virginia teen a luxurious trip in exchange for his Snapchat handle https://t.co/MP2iL83j83,0.0,0.0,1.0,0.0,Thu Mar 29 01:32:06 +0000 2018,"Days after researchers announced that a tiny mummy once rumored to be an alien was actually a human infant, Chilean… https://t.co/pn29RpMNdu"
19,0.0,0.0,1.0,0.0,Wed Mar 28 17:34:13 +0000 2018,"RT @BBCScotlandNews: In the 1980s, 'Hercules' the bear was a star. He had roles in adverts, films and even received a telegram from US Pres…",-0.5994,0.163,0.837,0.0,Thu Mar 29 01:00:01 +0000 2018,"In the wake of the shooting death of Stephon Clark by Sacramento police, the city's mayor said Wednesday that ""impl… https://t.co/mgMxp12XY4",0.0,0.0,1.0,0.0,Thu Mar 29 03:01:08 +0000 2018,"ABC's revival of ""Roseanne"" premiered on Tuesday to a staggering 18.2 million viewers https://t.co/U5wymoCpH5 https://t.co/4miTagWpDZ",0.296,0.0,0.864,0.136,Thu Mar 29 04:20:00 +0000 2018,Graham Allen: “Our rights and our freedoms as Americans are not up for debate.” https://t.co/gQZjLutao0,0.0,0.0,1.0,0.0,Thu Mar 29 01:16:21 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/9ykDo2yYvp
20,-0.3182,0.18,0.82,0.0,Wed Mar 28 17:34:06 +0000 2018,"Ecuador cuts Julian Assange's internet connection at its embassy in London, preventing him from communicating with… https://t.co/GmISwgfdpl",0.0,0.0,1.0,0.0,Thu Mar 29 00:47:02 +0000 2018,"""One source framed [Hope Hicks] as someone who keeps the White House from fracturing and that people are underestim… https://t.co/1RP3Hvx7AR",0.3612,0.0,0.815,0.185,Thu Mar 29 02:46:07 +0000 2018,India is building a city from scratch to attract foreign investors https://t.co/1RPv5hlNNL https://t.co/hTa0IGMfzD,-0.9186,0.545,0.455,0.0,Thu Mar 29 04:15:00 +0000 2018,Six children feared dead after SUV plunged off California cliff; 2 women killed https://t.co/EyNlbeYpVN,-0.6486,0.17,0.83,0.0,Thu Mar 29 01:00:09 +0000 2018,"RT @jdelreal: Two police officers, 10 minutes, 20 bullets. Another young black man dead, this time in his grandmother’s backyard in Califor…"
21,0.0,0.0,1.0,0.0,Wed Mar 28 17:13:44 +0000 2018,Ireland's abortion referendum to be held on 25 May https://t.co/gkiI7Ygl0n,-0.5423,0.156,0.844,0.0,Thu Mar 29 00:40:01 +0000 2018,Feds launch manhunt for prisoner who escaped JFK airport just before he was going to be deported to Senegal.… https://t.co/MjpqF1VGzo,0.0,0.0,1.0,0.0,Thu Mar 29 02:31:04 +0000 2018,"Planned Parenthood is facing a backlash after one of its branches tweeted, and then deleted, a post suggesting Disn… https://t.co/NtkpyCU0AU",0.0,0.0,1.0,0.0,Thu Mar 29 04:10:00 +0000 2018,.@michellemalkin on 2020 census to include citizenship question https://t.co/VkfSanaVEp,0.5775,0.0,0.792,0.208,Thu Mar 29 00:47:03 +0000 2018,RT @nytopinion: .@RickyGervais is not alone in presenting himself as a noble bulwark against a wave of supposed left-wing censorship. And a…
22,0.5719,0.142,0.548,0.311,Wed Mar 28 17:09:09 +0000 2018,"Police officer Arnaud Beltrame ""fell as a hero"" after showing ""exceptional courage"" during Islamist attack https://t.co/72NKU8TEHU",0.4939,0.0,0.814,0.186,Thu Mar 29 00:20:01 +0000 2018,Researcher who inspired Cambridge Analytica's data harvesting says era of privacy is over. https://t.co/Z7ifs0B3SK https://t.co/YAx0C8k7JU,-0.3164,0.098,0.902,0.0,Thu Mar 29 02:22:48 +0000 2018,"RT @AC360: Stuck in the middle with Toobin?! CNN's @JeffreyToobin sits between two lawyers who collectively yell 'thug' 20 times: ""The hand…",-0.8271,0.372,0.628,0.0,Thu Mar 29 04:05:00 +0000 2018,Outrage grows over police killing of Stephon Clark in Sacramento: '20 shots over a cellphone' https://t.co/nFAOz30fIZ,0.5719,0.103,0.651,0.245,Thu Mar 29 00:32:06 +0000 2018,"Dr. Cacioppo once explained, by an insight he had after surviving a near-fatal car crash: that love and social conn… https://t.co/FHUVIeyJop"
